,ProductCode,ProductName,ProductPrice,NumberOfCapsules,TypeofVitamin,IU,Market,Age_cat,gender,defficiency,IU_needed
54,56,Lysi D-vitamiini 25µg,13.85,180,D,1000,KMarket,,,,
55,57,Moomin D-vitamin 10µg ,5.55,100,D,400,KMarket,,,,
56,58,MINISUN D-VITAMIINI 20 MIKROG TABL,16.9,200,D3,800,Apteekki,,,,
57,59,MINISUN D-VITAMIINI 20 MIKROG PURUTABL,22.6,300,D3,800,Apteekki,,,,
58,60,MINISUN D-VITAMIINI 20 MIKROG PURUTABL,11.3,100,D3,800,Apteekki,,,,
59,61,MINISUN D-VITAMIINI 50 MIKROG PURUTABL,24.6,200,D3,2000,Apteekki,,,,
60,62,MINISUN D-VITAMIINI 75 MIKROG TABL ,24.6,200,D3,3000,Apteekki,,,,
61,63,MINISUN D-VITAMIINI 75 MIKROG TABL,15.2,100,D3,3000,Apteekki,,,,
62,64,BERTIL S VITAMIN D-VITAMIINI 50 MIKROG PURUTABL,11.5,150,D3,2000,Apteekki,,,,
63,65,MINISUN D-VITAMIINI 50 MIKROG PURUTABL,15.2,100,D3,2000,Apteekki,,,,
64,66,MINISUN D-VITAMIINI 100 MIKROG PURUTABL,18.0,90,D3,4000,Apteekki,,,,
65,67,YA D-VITAMIINI 100 MIKROG MAKEUTTAMATON TABL ,19.9,200,D3,4000,Apteekki,,,,
66,68,MINISUN PEHMOKONNA OMENA D-VITAMIINI JUNIOR PURESKELTAVA,18.9,120,D3,400,Apteekki,,,,
67,69,BIOTEEKIN SUPER D-VITAMIINI 100 MIKROG KAPS,12.9,60,D,4000,Apteekki,,,,
68,70,SANA-SOL VITANALLET D-VITAMIINI 10 MIKROG MANSIKKA VADELMA,13.2,60,D,400,Apteekki,,,,
69,71,KALCIPOS-D MITE TABLETTI,9.56,60,D,200,Apteekki,,,,
70,72,MINISUN D-VITAMIINI 10 MIKROG PURUTABL,22.5,300,D3,400,Apteekki,,,,
71,73,YA D-VITAMIINI 20 MIKROG SITRUUNA TABL,19.9,300,D3,800,Apteekki,,,,
72,74,BERTIL S KASVIPERÄINEN D3-VITAMIINI 20 MIKROG TABL,9.4,100,D3,800,Apteekki,,,,
73,75,BERTIL S KASVIPERÄINEN D3-VITAMIINI 50 MIKROG TABL,14.2,100,D3,2000,Apteekki,,,,
74,76,BERTIL S KASVIPERÄINEN D3-VITAMIINI 100 MIKROG TABL,17.9,90,D3,4000,Apteekki,,,,
75,77,DEVISOL STRONG 50 MIKROG TABLETTI ,15.2,100,D3,2000,Apteekki,,,,
76,78,PUHDAS+ VEGAN D3-VITAMIINI 100 MIKROG,21.9,60,D3,4000,Apteekki,,,,
77,79,PUHDAS+ VEGAN D3-VITAMIINI 50 MIKROG KAPS,17.2,60,D3,2000,Apteekki,,,,
78,80,DEVISOL MUSTIKKA 50 MIKROG IMESKELYTABL ,24.6,200,D3,2000,Apteekki,,,,
79,81,DEVISOL NEUTRAL 20 MIKROG TABLETTI,17.5,200,D3,800,Apteekki,,,,
80,82,DEVISOL NEUTRAL 50 MIKROG NIELTÄVÄ,24.6,200,D3,2000,Apteekki,,,,
81,83,DEVISOL OLIIVIÖLJY 100 MIKROG KAPS,18.9,100,D3,4000,Apteekki,,,,
82,84,DEVISOL OLIIVIÖLJY 50 MIKROG KAPS,18.9,150,D3,2000,Apteekki,,,,
83,85,KALCIPOS-D TABLETTI,10.12,60,D,400,Apteekki,,,,
84,86,KALCIPOS-D FORTE 500MG/20MCG KALVOPÄÄLLYSTEINEN TABLETT,13.59,60,D3,800,Apteekki,,,,
